Month,PostgreSQL,SQL,MySQL,Python,Kernel,ASP.NET,C,C++,Go,Ruby,Ada,MariaDB,Solidity,Swift,Kotlin,Perl,Scratch,R,Scala,Rust,MATLAB,SQLite,Bash,Assembly,PowerShell,FoxPro,Delphi,Visual FoxPro,Unity,Arduino,SAS,SPSS,Haskell,SQLAlchemy,Sage,Lisp,Lua,VBA,ActionScript,Elixir,Stata,VBScript,C#,Dart,JavaScript,Java,Node.js,PHP,Visual Basic
2015-07,269,1128,2440,1129,1084,23,576,1969,248,376,135,141,0,63,0,348,90,133,0,0,561,294,0,694,6,13,327,315,0,954,53,1340,86,0,83,0,11,245,137,0,47,173,0,0,2446,2977,367,5034,3169
2015-08,480,2062,4851,1545,2948,29,714,4130,291,736,170,208,0,81,0,498,100,156,0,0,582,365,0,1435,5,23,516,547,0,1390,81,2085,117,0,206,0,6,562,379,0,53,310,0,0,2838,4984,384,7669,6404
2015-09,623,2463,5475,2196,3718,26,673,5996,259,961,254,178,0,94,0,570,151,623,0,0,1639,326,0,2720,9,36,527,706,0,1815,103,2909,150,0,170,0,19,645,221,0,88,400,0,0,3290,6450,379,7466,6517
2015-10,643,3439,7029,1985,4817,31,768,6303,209,713,242,272,0,96,0,585,654,688,0,0,1701,384,0,3047,5,39,659,729,0,1997,160,2756,138,0,165,0,19,620,342,0,66,283,0,0,3987,6561,424,9579,7767
2015-11,597,3512,6303,2187,3769,31,752,5071,247,465,306,280,0,118,0,656,180,686,0,0,1468,493,0,2099,15,37,633,600,0,1713,127,2598,115,0,212,0,17,527,597,0,78,306,0,0,3831,5726,420,9131,6271
2015-12,483,2408,5395,1906,2561,33,605,4112,293,408,218,309,0,175,0,461,153,635,0,0,1084,416,0,1316,8,31,401,498,0,1970,146,2242,94,0,120,0,13,413,332,0,46,215,0,0,3142,5070,423,6553,5268
2016-01,505,2498,5103,2338,3560,30,716,4485,241,491,241,328,0,116,0,520,140,695,0,0,1001,472,0,1491,4,30,468,751,0,2279,112,2364,142,0,115,0,6,686,409,0,53,259,0,0,3740,5233,417,6546,5495
2016-02,501,2230,4640,1829,2831,24,594,3499,211,404,217,351,0,96,0,419,144,400,0,0,1339,333,0,1332,8,29,415,651,0,1952,79,2359,108,0,89,0,9,741,406,0,50,212,0,0,3239,4427,460,5797,4967
2016-03,579,3185,5899,2404,4256,22,588,4890,198,417,205,422,0,147,0,504,145,795,0,0,1938,433,0,1928,8,53,709,784,0,3105,126,2919,99,0,81,0,9,673,420,0,126,313,0,0,4296,6123,473,7393,6900
2016-04,475,2923,5244,2103,3508,24,669,4130,269,495,238,378,0,249,0,425,211,765,0,0,1491,573,0,1757,6,37,581,696,0,2729,139,2802,90,0,79,0,11,716,383,0,76,235,0,0,4298,5023,485,7243,7610
2016-05,445,2532,4854,1909,2709,11,632,3999,233,319,167,350,0,130,0,384,212,621,0,0,1069,464,0,1499,10,30,460,592,0,2474,78,3290,85,0,91,0,12,604,354,0,51,223,0,0,4025,4384,487,6440,7092
2016-06,333,1825,3595,1848,1555,18,555,2775,273,343,237,260,0,114,0,296,125,235,0,0,979,371,0,976,3,18,286,345,0,2367,67,1947,80,0,39,0,9,384,243,0,46,165,0,0,3271,3574,459,4634,5278
2016-07,370,1574,3057,1571,1068,21,659,2814,136,312,425,177,0,101,0,379,142,573,0,0,487,191,0,671,2,12,290,317,0,2028,84,1376,99,0,72,0,6,252,167,0,33,199,0,0,3015,3926,453,4785,5208
2016-08,514,1985,4555,2396,2064,30,720,5001,174,460,385,307,0,150,0,697,341,684,0,0,840,286,0,1429,3,12,435,536,0,2807,72,1953,105,0,117,0,11,488,250,0,25,297,0,0,3428,5030,542,6454,7514
2016-09,719,2271,5450,3020,3209,26,1056,6979,148,451,350,365,0,181,0,489,665,750,0,0,1578,294,0,1828,15,23,514,544,0,3625,137,2561,118,0,116,0,11,566,279,0,66,341,0,0,3519,6384,522,6900,7431
2016-10,687,2732,6204,2957,3581,38,1095,7290,195,499,371,448,0,220,0,596,605,1012,0,0,1494,421,0,2165,9,25,572,700,0,4233,140,2534,138,0,128,0,9,709,336,0,119,368,0,0,4192,7048,696,7756,8880
2016-11,720,2451,6282,2992,3293,18,1081,5378,170,390,332,598,0,211,0,554,490,913,0,0,1337,335,0,1837,5,21,613,646,0,3654,125,2162,114,0,138,0,12,439,360,0,76,287,0,0,3919,5450,637,6926,7062
2016-12,650,2063,5294,2334,1965,27,1086,4523,139,292,508,347,0,135,0,421,331,739,0,0,1075,383,0,1414,1,31,447,475,0,3010,98,1739,88,0,82,0,5,486,283,0,102,273,0,0,3180,4297,583,5570,6393
2017-01,564,1884,4984,2431,2672,19,1298,4562,127,317,403,328,0,200,0,370,356,578,0,0,883,452,0,1554,4,23,441,539,0,3244,92,1826,74,0,78,0,4,715,320,0,131,274,0,0,3474,4272,633,6204,6766
2017-02,600,1689,4735,2462,2454,24,1125,3701,120,439,235,325,0,182,0,495,376,612,39,0,1019,332,0,1389,12,30,428,759,0,3059,128,2085,130,0,113,0,11,786,336,0,117,237,0,0,3346,4093,655,5643,5694
2017-03,767,2397,6435,3215,3411,26,1180,4726,128,514,255,424,0,211,0,537,356,858,89,0,1646,412,0,2060,5,20,619,684,0,3550,137,2817,112,0,340,0,4,907,390,0,105,280,0,0,3358,5509,741,6382,8251
2017-04,477,1866,5137,3247,2628,22,1174,4575,145,713,188,377,0,219,0,486,358,1028,95,0,1368,396,0,1855,5,29,676,621,0,3879,155,2619,68,0,158,0,7,651,374,0,96,259,0,0,3956,4899,748,7096,7843
2017-05,493,1997,5101,3159,2471,35,1008,4130,130,533,158,366,0,171,0,494,364,714,114,0,1471,416,0,1583,6,16,487,585,0,3540,269,2808,86,0,119,0,13,827,370,0,109,249,0,0,3946,4453,799,6515,8189
2017-06,317,1278,3418,2019,1341,20,942,2956,90,425,103,195,0,211,0,287,243,789,59,0,815,273,0,932,7,9,343,284,0,2394,117,1883,53,0,56,0,3,575,196,0,67,145,0,0,2650,2997,746,4570,4748
